age,sex,education,income,east-west,happiness,health,lived_abroad,orientation
41,Female,3,700,West,7,4,No,3
19,Male,5,450,West,8,4,No,5
54,Male,3,2700,East,8,4,No,3
47,Male,3,1600,East,7,5,No,6
56,Male,5,2000,East,7,4,No,6
46,Female,5,2500,East,9,4,No,9
42,Male,5,6000,West,8,4,No,5
30,Female,5,1313,West,10,5,Yes,3
37,Male,3,3200,West,10,4,No,6
20,Male,5,450,East,8,4,Yes,3
55,Male,5,5000,West,9,5,No,9
52,Female,5,3500,East,7,4,No,2
66,Female,4,1200,West,8,4,No,6
46,Male,5,2300,West,9,5,No,2
36,Male,3,2125,East,8,4,No,9
66,Male,4,2700,West,9,3,No,2
31,Male,4,2950,West,8,5,No,5
63,Female,3,700,West,10,4,No,2
27,Female,5,400,East,8,2,No,5
73,Male,2,1000,West,6,2,No,6
75,Male,3,2300,West,7,2,No,6
24,Male,2,1300,West,8,4,No,11
74,Male,2,1050,West,4,2,No,6
53,Male,2,2200,East,6,4,No,6
42,Male,5,2875,West,8,3,No,3
31,Male,3,1000,East,7,4,Yes,9
49,Female,5,1700,West,8,3,No,2
57,Female,5,2125,West,9,5,No,2
28,Male,5,1550,East,8,5,No,2
23,Male,3,1500,West,9,5,No,6
35,Female,3,1000,East,7,4,No,1
33,Female,3,1050,East,9,2,No,11
78,Female,3,680,West,10,3,No,6
21,Female,3,800,West,9,2,No,3
75,Male,5,1300,East,8,4,No,6
45,Male,3,1550,East,7,3,No,1
68,Male,5,3000,West,8,3,No,6
24,Female,5,550,West,6,5,No,2
45,Male,3,2375,East,9,4,Yes,6
70,Male,2,638,East,8,3,No,1
49,Male,3,2200,West,8,3,No,5
54,Female,3,2000,East,8,4,No,6
40,Male,5,2500,West,8,4,Yes,5
47,Female,3,1220,East,8,4,No,3
83,Male,5,2300,West,8,4,No,1
74,Male,2,1450,West,4,4,No,9
28,Male,5,2800,East,8,5,No,6
73,Female,2,960,East,9,4,No,6
77,Female,2,440,West,5,3,No,6
50,Female,5,3500,West,8,3,No,6
65,Male,2,1650,West,7,3,No,3
74,Female,3,813,West,10,5,No,6
52,Female,5,1313,West,9,4,No,6
20,Male,2,440,East,7,4,No,9
35,Male,4,1500,East,8,3,No,9
44,Female,5,1200,West,9,4,Yes,6
65,Female,3,1300,East,8,3,No,5
53,Female,5,1000,West,9,2,No,6
78,Male,2,1950,East,10,3,No,9
21,Female,5,800,West,8,5,No,6
68,Male,2,1189,East,5,5,No,6
19,Male,3,478,East,9,5,No,2
44,Female,2,450,East,5,4,No,9
47,Female,2,1000,West,1,3,No,3
59,Female,2,1625,West,8,5,No,6
71,Male,5,1200,East,7,4,Yes,1
40,Male,5,3000,West,8,4,No,2
78,Male,2,960,East,6,3,No,6
22,Female,5,1200,West,9,5,No,2
20,Male,3,450,West,9,4,No,1
62,Female,4,2750,West,8,4,No,2
61,Female,3,1875,East,9,5,No,3
34,Female,3,1063,West,5,3,No,3
32,Female,5,950,West,8,4,Yes,2
59,Male,2,620,East,6,1,No,5
46,Female,3,800,West,9,4,No,5
48,Female,3,2300,East,6,2,No,6
50,Female,3,650,West,8,3,No,6
78,Male,2,3000,West,10,3,No,3
18,Female,3,580,West,7,3,No,9
77,Male,3,1200,East,5,2,No,3
48,Female,5,1500,West,7,4,No,6
43,Female,3,2400,East,8,4,No,6
82,Female,2,1200,East,6,3,No,3
30,Male,3,2600,West,8,3,No,6
65,Female,2,1000,West,8,3,Yes,9
77,Female,2,1000,West,9,4,No,5
77,Male,3,1100,East,8,3,Yes,3
54,Female,5,1000,West,5,2,No,1
75,Male,3,970,East,6,3,No,1
65,Female,3,850,East,9,4,No,3
49,Female,5,1313,West,10,5,No,6
46,Male,2,2000,West,9,4,No,9
64,Male,5,755,West,10,4,Yes,1
73,Male,3,860,East,5,2,No,3
69,Female,2,1800,West,9,4,Yes,3
